1.15.0.52124
i(202256),	-- Privateer's Ornate Pistol
i(231006),	-- Animist's Boots
i(231007),	-- Bloodstained Coif
i(231008),	-- Bloodstained Legplates
i(231009),	-- Blooddrenched Leggings
i(231010),	-- Bloodsoaked Gauntlets
i(231011),	-- Bloodtinged Gloves
i(231012),	-- Overlord's Embrace
i(231013),	-- The Hexxer's Cover
i(231014),	-- Lizardscale Eyepatch
i(231015),	-- Twill Mask
i(231016),	-- Nat Pagle's Fish Terminator
i(231271),	-- Nat Pagle's Broken Reel
i(231272),	-- Tigule's Harpoon
i(231273),	-- Gri'lek's Carver
i(231274),	-- Gri'lek's Grinder
i(231275),	-- Blazefury Retributer
i(231276),	-- Thoughtblighter
i(231277),	-- Pitchfork of Madness
i(231278),	-- Hoodoo Hunting Bow
i(231279),	-- Wushoolay's Poker
i(231280),	-- Wushoolay's Charm of Nature
i(231281),	-- Wushoolay's Charm of Spirits
i(231282),	-- Hazza'rah's Charm of Chilled Magic
i(231283),	-- Hazza'rah's Charm of Warding
i(231284),	-- Hazza'rah's Charm of Destruction
i(231285),	-- Gri'lek's Charm of Valor
i(231286),	-- Gri'lek's Charm of Might
i(231287),	-- Renataki's Charm of Trickery
i(231288),	-- Renataki's Charm of Ravaging
i(231289),	-- Aegis of the Blood God
i(231293),	-- Ancient Hakkari Manslayer
i(231296),	-- Bloodcaller
i(231298),	-- Scroll of Lesser Spatial Mending
i(231299),	-- Bloodsoaked Legplates
i(231300),	-- Cloak of Consumption
i(231301),	-- Fang of the Faceless
i(231302),	-- Gurubashi Dwarf Destroyer
i(231303),	-- Peacekeeper Gauntlets
i(231304),	-- Scroll: SERELS PATALIS GNEMIND
i(231305),	-- Seafury Gauntlets
i(231306),	-- Soul Corrupter's Necklace
i(231307),	-- The Eye of Hakkar
i(231308),	-- Touch of Chaos
i(231309),	-- Warblade of the Hakkari
i(231315),	-- Zin'rokh, Destroyer of Worlds
i(231316),	-- Pristine Enchanted South Seas Kelp
i(231317),	-- Zandalar Haruspex's Tunic
i(231318),	-- Zandalar Haruspex's Belt
i(231319),	-- Zandalar Haruspex's Bracers
i(231320),	-- Maelstrom's Wrath
i(231321),	-- Zandalar Predator's Mantle
i(231322),	-- Zandalar Predator's Belt
i(231323),	-- Zandalar Predator's Bracers
i(231324),	-- Jewel of Kajaro
i(231325),	-- Zandalar Illusionist's Mantle
i(231326),	-- Zandalar Illusionist's Wraps
i(231327),	-- Zandalar Illusionist's Robe
i(231328),	-- Hero's Brand
i(231329),	-- Zandalar Freethinker's Breastplate
i(231330),	-- Zandalar Freethinker's Belt
i(231331),	-- Zandalar Freethinker's Armguards
i(231332),	-- The All-Seeing Eye of Zuldazar
i(231333),	-- Zandalar Confessor's Mantle
i(231334),	-- Zandalar Confessor's Bindings
i(231335),	-- Zandalar Confessor's Wraps
i(231336),	-- Zandalarian Shadow Mastery Talisman
i(231337),	-- Zandalar Madcap's Tunic
i(231338),	-- Zandalar Madcap's Mantle
i(231339),	-- Zandalar Madcap's Bracers
i(231340),	-- Unmarred Vision of Voodress
i(231341),	-- Zandalar Augur's Hauberk
i(231342),	-- Zandalar Augur's Belt
i(231343),	-- Zandalar Augur's Bracers
i(231346),	-- Kezan's Unstoppable Taint
i(231347),	-- Zandalar Demoniac's Wraps
i(231348),	-- Zandalar Demoniac's Robe
i(231349),	-- Zandalar Demoniac's Mantle
i(231350),	-- Rage of Mugamba
i(231351),	-- Zandalar Vindicator's Armguards
i(231352),	-- Zandalar Vindicator's Belt
i(231353),	-- Zandalar Vindicator's Breastplate
i(231354),	-- Animist's Caress
i(231355),	-- Animist's Balance
i(231357),	-- Animist's Fury
i(231358),	-- Animist's Roar
i(231359),	-- Falcon's Call
i(231361),	-- Syncretist's Seal
i(231362),	-- Syncretist's Sigil
i(231363),	-- Syncretist's Crest
i(231364),	-- Syncretist's Emblem
i(231366),	-- Prophetic Aura
i(231367),	-- Prophetic Curse
i(231368),	-- Death's Embrace
i(231370),	-- Death's Advance
i(231371),	-- Vodouisant's Embrace
i(231372),	-- Vodouisant's Shroud
i(231373),	-- Vodouisant's Charm
i(231375),	-- Vodouisant's Vigilance
i(231376),	-- Hoodoo Hex
i(231377),	-- Hoodoo Curse
i(231379),	-- Presence of Might
i(231381),	-- Presence of Valor
i(231382),	-- Vessel of Rebirth
i(231383),	-- Presence of Sight
i(231384),	-- Falcon's Fury
i(231385),	-- Simulacrum of the Dragon Soul
i(231386),	-- Flawless Black Dragonscale
i(231466),	-- Blackwing Warlock's Codex
i(231509),	-- Cassandra's Tome
i(231512),	-- Primal Hakkari Idol
i(231513),	-- Gri'lek's Blood
i(231514),	-- Renataki's Tooth
i(231515),	-- Wushoolay's Mane
i(231516),	-- Hazza'rah's Dream Thread
i(231517),	-- Punctured Voodoo Doll
i(231518),	-- Punctured Voodoo Doll
i(231519),	-- Punctured Voodoo Doll
i(231520),	-- Punctured Voodoo Doll
i(231521),	-- Punctured Voodoo Doll
i(231522),	-- Punctured Voodoo Doll
i(231523),	-- Punctured Voodoo Doll
i(231524),	-- Punctured Voodoo Doll
i(231525),	-- Punctured Voodoo Doll
i(231530),	-- Warlord's Plate Armor
i(231531),	-- General's Plate Boots
i(231532),	-- General's Plate Gauntlets
i(231533),	-- General's Plate Leggings
i(231534),	-- Warlord's Plate Shoulders
i(231535),	-- Warlord's Plate Headpiece
i(231536),	-- Field Marshal's Plate Armor
i(231537),	-- Field Marshal's Plate Shoulderguards
i(231538),	-- Field Marshal's Plate Helm
i(231539),	-- Marshal's Plate Boots
i(231540),	-- Marshal's Plate Legguards
i(231541),	-- Marshal's Plate Gauntlets
i(231543),	-- Field Marshal's Leather Chestpiece
i(231544),	-- Marshal's Leather Handgrips
i(231545),	-- Field Marshal's Leather Mask
i(231546),	-- Marshal's Leather Footguards
i(231547),	-- Field Marshal's Leather Epaulets
i(231548),	-- Marshal's Leather Leggings
i(231549),	-- Warlord's Leather Breastplate
i(231551),	-- Warlord's Leather Spaulders
i(231552),	-- General's Leather Treads
i(231553),	-- Warlord's Leather Helm
i(231554),	-- General's Leather Legguards
i(231555),	-- General's Leather Mitts
i(231557),	-- Field Marshal's Chain Pauldrons
i(231558),	-- Marshal's Chain Legplates
i(231560),	-- Marshal's Chain Grips
i(231561),	-- Marshal's Chain Sabatons
i(231562),	-- Field Marshal's Chain Greathelm
i(231563),	-- Field Marshal's Chain Armor
i(231564),	-- General's Chain Sabatons
i(231565),	-- Warlord's Chain Pauldrons
i(231566),	-- Warlord's Chain Armor
i(231567),	-- General's Chain Legplates
i(231568),	-- Warlord's Chain Greathelm
i(231569),	-- General's Chain Grips
i(231570),	-- General's Chain Greaves
i(231571),	-- Warlord's Chain Helm
i(231572),	-- Warlord's Chain Shoulders
i(231573),	-- Warlord's Chain Hauberk
i(231574),	-- General's Chain Legguards
i(231575),	-- General's Chain Vices
i(231576),	-- Field Marshal's Chain Shoulders
i(231577),	-- Marshal's Chain Legguards
i(231578),	-- Marshal's Chain Vices
i(231579),	-- Marshal's Chain Greaves
i(231580),	-- Field Marshal's Chain Helm
i(231581),	-- Field Marshal's Chain Hauberk
i(231582),	-- Field Marshal's Dreadweave Robe
i(231583),	-- Field Marshal's Dreadweave Shoulders
i(231584),	-- Field Marshal's Coronal
i(231585),	-- Marshal's Dreadweave Boots
i(231586),	-- Marshal's Dreadweave Gloves
i(231587),	-- Marshal's Dreadweave Leggings
i(231588),	-- General's Dreadweave Pants
i(231589),	-- General's Dreadweave Gloves
i(231590),	-- Warlord's Dreadweave Hood
i(231591),	-- Warlord's Dreadweave Robe
i(231592),	-- Warlord's Dreadweave Mantle
i(231593),	-- General's Dreadweave Boots
i(231594),	-- Warlord's Silk Amice
i(231595),	-- General's Silk Trousers
i(231596),	-- Warlord's Silk Raiment
i(231597),	-- General's Silk Boots
i(231598),	-- General's Silk Gloves
i(231599),	-- General's Silk Gauntlets
i(231600),	-- General's Silk Handwraps
i(231601),	-- Warlord's Silk Cowl
i(231602),	-- Field Marshal's Silk Spaulders
i(231603),	-- Field Marshal's Silk Vestments
i(231604),	-- Field Marshal's Coronet
i(231605),	-- Marshal's Silk Leggings
i(231606),	-- Marshal's Silk Footwraps
i(231607),	-- Marshal's Silk Gloves
i(231608),	-- Marshal's Silk Gauntlets
i(231609),	-- Marshal's Silk Handwraps
i(231610),	-- General's Satin Treads
i(231611),	-- Warlord's Satin Epaulets
i(231612),	-- Warlord's Satin Robes
i(231613),	-- General's Satin Grips
i(231614),	-- General's Satin Leggings
i(231615),	-- Warlord's Satin Crown
i(231616),	-- Field Marshal's Satin Crown
i(231617),	-- Marshal's Satin Grips
i(231618),	-- Field Marshal's Satin Robe
i(231619),	-- Marshal's Satin Leggings
i(231620),	-- Marshal's Satin Treads
i(231621),	-- Field Marshal's Satin Epaulets
i(231622),	-- Field Marshal's Satin Hood
i(231623),	-- Marshal's Satin Handwraps
i(231624),	-- Field Marshal's Satin Tunic
i(231625),	-- Testament of Horn of Lordaeron
i(231626),	-- Marshal's Satin Legguards
i(231627),	-- Marshal's Satin Walkers
i(231628),	-- Field Marshal's Satin Mantle
i(231630),	-- General's Satin Walkers
i(231631),	-- Warlord's Satin Mantle
i(231632),	-- Warlord's Satin Tunic
i(231633),	-- General's Satin Handwraps
i(231634),	-- General's Satin Legguards
i(231635),	-- Warlord's Satin Hood
i(231639),	-- Marshal's Lamellar Legguards
i(231640),	-- Field Marshal's Lamellar Helmet
i(231641),	-- Field Marshal's Lamellar Chestplate
i(231642),	-- Warden's Herb Bag
i(231643),	-- Marshal's Lamellar Gloves
i(231644),	-- Warden's Enchanting Bag
i(231645),	-- Field Marshal's Lamellar Pauldrons
i(231646),	-- Marshal's Lamellar Greaves
i(231647),	-- Marshal's Lamellar Leggings
i(231648),	-- Field Marshal's Lamellar Headguard
i(231649),	-- Field Marshal's Lamellar Breastplate
i(231650),	-- Marshal's Lamellar Gauntlets
i(231651),	-- Field Marshal's Lamellar Shoulders
i(231652),	-- Marshal's Lamellar Sabatons
i(231653),	-- Warlord's Mail Hauberk
i(231654),	-- Warlord's Mail Pauldrons
i(231655),	-- General's Mail Vices
i(231656),	-- General's Mail Greaves
i(231657),	-- Warlord's Mail Headguard
i(231658),	-- General's Mail Legguards
i(231659),	-- Warlord's Mail Spaulders
i(231660),	-- General's Mail Gauntlets
i(231661),	-- General's Mail Sabatons
i(231662),	-- Warlord's Mail Breastplate
i(231663),	-- Warlord's Mail Helm
i(231664),	-- General's Mail Leggings
i(231665),	-- Warlord's Mail Epaulets
i(231666),	-- General's Mail Gloves
i(231667),	-- General's Mail Boots
i(231668),	-- Warlord's Mail Chestguard
i(231669),	-- Warlord's Mail Skullcap
i(231670),	-- General's Mail Pants
i(231671),	-- General's Dragonhide Greaves
i(231672),	-- Warlord's Dragonhide Pauldrons
i(231673),	-- General's Dragonhide Legguards
i(231674),	-- Warlord's Dragonhide Tunic
i(231675),	-- Warlord's Dragonhide Headdress
i(231676),	-- General's Dragonhide Gauntlets
i(231677),	-- General's Dragonhide Gloves
i(231678),	-- Warlord's Dragonhide Helm
i(231679),	-- Warlord's Dragonhide Armor
i(231680),	-- General's Dragonhide Pants
i(231681),	-- Warlord's Dragonhide Spaulders
i(231682),	-- General's Dragonhide Boots
i(231683),	-- General's Dragonhide Treads
i(231684),	-- Warlord's Dragonhide Shoulders
i(231685),	-- General's Dragonhide Leggings
i(231686),	-- Warlord's Dragonhide Chestpiece
i(231687),	-- Warlord's Dragonhide Headguard
i(231688),	-- General's Dragonhide Grips
i(231689),	-- Field Marshal's Dragonhide Headguard
i(231690),	-- Field Marshal's Dragonhide Chestpiece
i(231691),	-- Marshal's Dragonhide Leggings
i(231692),	-- Marshal's Dragonhide Treads
i(231693),	-- Field Marshal's Dragonhide Shoulders
i(231694),	-- Marshal's Dragonhide Grips
i(231695),	-- Field Marshal's Dragonhide Helm
i(231696),	-- Field Marshal's Dragonhide Armor
i(231697),	-- Marshal's Dragonhide Pants
i(231698),	-- Marshal's Dragonhide Boots
i(231699),	-- Field Marshal's Dragonhide Spaulders
i(231700),	-- Marshal's Dragonhide Gloves
i(231701),	-- Field Marshal's Dragonhide Headdress
i(231702),	-- Field Marshal's Dragonhide Tunic
i(231703),	-- Marshal's Dragonhide Legguards
i(231704),	-- Marshal's Dragonhide Greaves
i(231705),	-- Field Marshal's Dragonhide Pauldrons
i(231706),	-- Marshal's Dragonhide Gauntlets
i(231732),	-- Suspicious Supplies
i(231752),	-- S03 - Monster - Sword, 2H Alliance
i(231754),	-- Kestrel
i(231755),	-- Peregrine
i(231778),	-- Mountain Spring Water
i(231780),	-- Tome of Conjure Water VIII
i(231789),	-- Sigil of the Keeper
i(231792),	-- Soul of Mischief
i(231797),	-- Soul of the Void
i(231798),	-- Soul of Enthralling
i(231799),	-- Soul of Devouring
i(231800),	-- Soul of Des'Altek
i(231811),	-- Libram of Awe
i(231828),	-- Rune of Meditation Specialization
i(231829),	-- Rune of Healing Specialization
i(231836),	-- Glowing Scroll of Spatial Mending
i(231837),	-- Shadow Carving
i(231841),	-- Blood of the Lightbringer
i(231842),	-- Nandieb's Stave
i(231843),	-- First Sigil Fragment
i(231844),	-- Second Sigil Fragment
i(231845),	-- Third Sigil Fragment
i(231846),	-- Gri'lek's Carver
i(231847),	-- Gri'lek's Grinder
i(231848),	-- Nat Pagle's Fish Terminator
i(231849),	-- Tigule's Harpoon
i(231850),	-- Will of Arlokk
i(231851),	-- Arlokk's Grasp
i(231852),	-- Gurubashi Dwarf Destroyer
i(231853),	-- Warblade of the Hakkari
i(231854),	-- Zin'rokh, Destroyer of Worlds
i(231855),	-- Fang of the Faceless
i(231856),	-- Ancient Hakkari Manslayer
i(231857),	-- Touch of Chaos
i(231858),	-- Bloodcaller
i(231859),	-- Jin'do's Hexxer
i(231860),	-- Jin'do's Judgement
i(231861),	-- Jeklik's Crusher
i(231862),	-- Blazefury Retributer
i(231863),	-- Thoughtblighter
i(231864),	-- Pitchfork of Madness
i(231865),	-- Zulian Scepter of Rites
i(231866),	-- Mar'li's Touch
i(231867),	-- Bloodlord's Defender
i(231868),	-- Mandokir's Sting
i(231869),	-- Warblade of the Hakkari
i(231870),	-- Halberd of Smiting
i(231871),	-- Wushoolay's Poker
i(231872),	-- Hoodoo Hunting Bow
i(231873),	-- Zulian Stone Axe
i(231874),	-- Fang of Venoxis
i(231875),	-- Thekal's Grasp
i(231876),	-- Zulian Slicer
i(231885),	-- Frostmourne
i(231887),	-- Test Dagger
i(231890),	-- Terrestris
i(231891),	-- Treatise of the Falcon
i(231901),	-- Truthbearer
i(231902),	-- Ada's Amulet
i(231903),	-- Scrap of Torn Cloth
i(231904),	-- Tarnished Horn
i(231909),	-- Crystallized Starlight
i(231996),	-- Supercharged Gobmogrifier
i(232299),	-- Zulian Defender
i(232309),	-- Renataki's Soul Conduit
i(232310),	-- Renataki's Soul Conduit
i(232311),	-- Zulian Tigerhide Cloak
i(232312),	-- Blood of the Lightbringer
i(232324),	-- Bird Whistle \\ Whistle
1.15.4.56493
i(232343),	-- QAEnchant Shield - Law of Nature
i(232344),	-- Vick's VIP Pass
i(232358),	-- Empty Reliquary
i(232373),	-- Refined Eye of Sulfuras
i(232389),	-- Libram of Plenty
i(232390),	-- Idol of Celestial Focus
i(232391),	-- Idol of Feline Focus
i(232392),	-- Totem of Relentless Thunder
i(232409),	-- Totem of the Elements
i(232414),	-- Dragontooth Blade
i(232416),	-- Totem of Astral Flow
i(232419),	-- Totem of Conductive Currents
i(232420),	-- Libram of Wrath
i(232421),	-- Libram of Avenging \\ Libram of Avengement
i(232423),	-- Idol of Nurture
i(232424),	-- Idol of Cruelty
1.15.4.56573
i(232454),	-- Emblem of the Wild Gods
i(232455),	-- Emblem of Dishonor
i(232456),	-- Emblem of the Violet Eye
i(232457),	-- Emblem of the Worldcore
i(232458),	-- Rune of Improved Sanctuary
i(232459),	-- Rune of Backdraft
i(232460),	-- Rune of Displacement
i(232461),	-- Rune of Despair
i(232462),	-- Rune of Purifying Power
1.15.5.57537
i(232549),	-- Logistics Task Briefing VI
i(232652),	-- Zila Amanemodas
i(233197),	-- Argent Training Manual
i(233198),	-- Horn of the Dawn
i(233200),	-- Songflower Seed
i(233201),	-- Shimmering Globe
i(233206),	-- Overseer's Anvil
i(233208),	-- "Defective" Magic 8-Ball
i(233209),	-- Firewater Cauldron
i(233211),	-- Spirit Conch
i(233213),	-- Ancient Lodestone
i(233215),	-- Explosive Sand Trap
i(233216),	-- Freez-O-Matic Ray
i(233217),	-- Tunneler's Incense
i(233226),	-- Ancient Zandalarian Rope
i(233250),	-- Ancient Branch
i(233358),	-- Tamed Silithid Tank
i(233417),	-- Mace of Unending Life
i(233418),	-- Cloak of Unending Life
i(233419),	-- Band of Unending Life
i(233420),	-- Cloak of the Unseen Path
i(233421),	-- Scythe of the Unseen Path
i(233422),	-- Signet of the Unseen Path
i(233423),	-- Blade of Vaulted Secrets
i(233424),	-- Drape of Vaulted Secrets
i(233425),	-- Band of Vaulted Secrets
i(233426),	-- Blade of Eternal Justice
i(233427),	-- Cape of Eternal Justice
i(233428),	-- Ring of Eternal Justice
i(233429),	-- Gavel of Infinite Wisdom
i(233430),	-- Shroud of Infinite Wisdom
i(233431),	-- Ring of Infinite Wisdom
i(233432),	-- Cloak of Veiled Shadows
i(233433),	-- Dagger of Veiled Shadows
i(233434),	-- Band of Veiled Shadows
i(233435),	-- Hammer of the Gathering Storm
i(233436),	-- Cloak of the Gathering Storm
i(233437),	-- Ring of the Gathering Storm
i(233438),	-- Shroud of Unspoken Names
i(233439),	-- Kris of Unspoken Names
i(233440),	-- Ring of Unspoken Names
i(233441),	-- Drape of Unyielding Strength
i(233442),	-- Sickle of Unyielding Strength
i(233443),	-- Signet of Unyielding Strength
i(233672),	-- Doomcaller's Pants
i(233673),	-- Doomcaller's Treads
i(233696),	-- Stormcaller's Sabatons
i(233724),	-- Battle Hardened Plate Girdle
i(233725),	-- Battle Hardened Plate Girdle
i(233726),	-- Battle Hardened Plate Armguards
i(233727),	-- Battle Hardened Plate Armguards
i(233728),	-- Blood-Caked Insignia
i(233729),	-- Blood-Caked Choker
i(233730),	-- Blood-Caked Talisman
i(233731),	-- Blood-Caked Amulet
i(233732),	-- Blood-Caked Necklace
i(233733),	-- Blood-Caked Ring
i(233734),	-- Blood-Caked Circle
i(233735),	-- Blood-Caked Loop
i(233736),	-- Blood-Caked Band
i(233737),	-- Blood-Caked Cloak
i(233738),	-- Blood-Caked Cape
i(233739),	-- Blood-Caked Drape
i(233740),	-- Blood-Caked Shroud
i(233741),	-- Battle Hardened Lamellar Belt
i(233742),	-- Battle Hardened Lamellar Armguards
i(233743),	-- Battle Hardened Lamellar Wrists
i(233744),	-- Battle Hardened Lamellar Cord
i(233745),	-- Battle Hardened Mail Waistband
i(233746),	-- Battle Hardened Mail Cord
i(233747),	-- Battle Hardened Mail Belt
i(233748),	-- Battle Hardened Mail Bracers
i(233749),	-- Battle Hardened Mail Wristguards
i(233750),	-- Battle Hardened Mail Vambraces
i(233751),	-- Battle Hardened Chain Girdle
i(233752),	-- Battle Hardened Chain Girdle
i(233753),	-- Battle Hardened Chain Belt
i(233754),	-- Battle Hardened Chain Belt
i(233755),	-- Battle Hardened Chain Wristguards
i(233756),	-- Battle Hardened Chain Wristguards
i(233757),	-- Battle Hardened Chain Bracers
i(233758),	-- Battle Hardened Chain Bracers
i(233759),	-- Battle Hardened Dragonhide Bracers
i(233760),	-- Battle Hardened Dragonhide Bracers
i(233761),	-- Battle Hardened Dragonhide Belt
i(233762),	-- Battle Hardened Dragonhide Belt
i(233763),	-- Battle Hardened Dragonhide Waistguard
i(233764),	-- Battle Hardened Dragonhide Waistguard
i(233765),	-- Battle Hardened Dragonhide Cord
i(233766),	-- Battle Hardened Dragonhide Cord
i(233767),	-- Battle Hardened Dragonhide Wrists
i(233768),	-- Battle Hardened Dragonhide Wrists
i(233769),	-- Battle Hardened Dragonhide Armbands
i(233770),	-- Battle Hardened Dragonhide Armbands
i(233771),	-- Battle Hardened Leather Girdle
i(233772),	-- Battle Hardened Leather Girdle
i(233773),	-- Battle Hardened Leather Armsplints
i(233774),	-- Battle Hardened Leather Armsplints
i(233775),	-- Battle Hardened Silk Cuffs
i(233776),	-- Battle Hardened Silk Cuffs
i(233777),	-- Battle Hardened Silk Sash
i(233778),	-- Battle Hardened Silk Sash
i(233779),	-- Battle Hardened Satin Bracers
i(233780),	-- Battle Hardened Satin Bracers
i(233781),	-- Battle Hardened Satin Wrists
i(233782),	-- Battle Hardened Satin Wrists
i(233783),	-- Battle Hardened Satin Sash
i(233784),	-- Battle Hardened Satin Sash
i(233785),	-- Battle Hardened Satin Cinch
i(233786),	-- Battle Hardened Satin Cinch
i(233787),	-- Battle Hardened Dreadweave Cuffs
i(233788),	-- Battle Hardened Dreadweave Cuffs
i(233789),	-- Battle Hardened Dreadweave Belt
i(233790),	-- Battle Hardened Dreadweave Belt
i(233791),	-- Blood-Caked Copper Coin
i(233965),	-- Flask of the Old Gods
i(233984),	-- Arcane Megabomb
i(233996),	-- Enchanted Repellent
i(234061),	-- Qiraji Sacrificial Dagger
i(234062),	-- Vestments of the Shifting Sands
i(234063),	-- Belt of the Sand Reaver
i(234064),	-- Belt of the Inquisition
i(234065),	-- Sand Reaver Wristguards
i(234066),	-- Toughened Silithid Hide Gloves
i(234067),	-- Manslayer of the Qiraji
i(234068),	-- Boots of the Vanguard
i(234069),	-- Boots of the Qiraji General
i(234070),	-- Bracers of Qiraji Command
i(234071),	-- Legplates of the Qiraji Command
i(234072),	-- Southwind's Grasp
i(234073),	-- Dustwind Turban
i(234075),	-- Gauntlets of the Immovable
i(234076),	-- Talon of Furious Concentration
i(234077),	-- Thick Silithid Chestguard
i(234078),	-- Chitinous Shoulderguards
i(234079),	-- Cloak of the Savior
i(234080),	-- Eye of Moam
i(234081),	-- Gauntlets of Southwind
i(234082),	-- Mantle of Maz'Nadir
i(234083),	-- Ring of Fury
i(234084),	-- Southwind Helm
i(234087),	-- Obsidian Scaled Leggings
i(234088),	-- Legplates of the Destroyer
i(234089),	-- Buru's Skull Fragment
i(234090),	-- Gloves of the Swarm
i(234091),	-- Slimy Scaled Gauntlets
i(234092),	-- Fetish of Chitinous Spikes
i(234093),	-- Quicksand Waders
i(234094),	-- Scaled Bracers of the Gorger
i(234095),	-- Slime Kickers
i(234096),	-- Bow of Taut Sinew
i(234097),	-- Stinger of Ayamiss
i(234098),	-- Boots of the Desert Protector
i(234099),	-- Boots of the Fiery Sands
i(234100),	-- Helm of Regrowth
i(234101),	-- Ring of the Desert Winds
i(234102),	-- Scaled Silithid Gauntlets
i(234103),	-- Bracers of Brutality
i(234104),	-- Crossbow of Imminent Doom
i(234105),	-- Gauntlets of New Life
i(234106),	-- Gloves of Dark Wisdom
i(234107),	-- Helm of Domination
i(234108),	-- Leggings of the Black Blizzard
i(234109),	-- Mantle of the Horusath
i(234110),	-- Ossirian's Binding
i(234111),	-- Runic Stone Shoulders
i(234112),	-- Sand Polished Hammer
i(234113),	-- Sandstorm Cloak
i(234114),	-- Shackles of the Unscarred
i(234115),	-- Staff of the Ruins
i(234116),	-- Fury of the Forgotten Swarm
i(234117),	-- Treads of the Wandering Nomad
i(234118),	-- Gavel of Qiraji Authority
i(234119),	-- Antenna of Invigoration
i(234120),	-- Helm of the Holy Avenger
i(234121),	-- Silithid Husked Launcher
i(234122),	-- The Lost Kris of Zedd
i(234123),	-- Coif of Elemental Fury
i(234124),	-- Handbook of Occult Poison II
i(234129),	-- Onyx Embedded Leggings
i(234130),	-- Amulet of Shadow Shielding
i(234132),	-- Drake Tooth Necklace
i(234133),	-- Drudge Boots
i(234134),	-- Gnomish Turban of Psychic Might
i(234135),	-- Band of Icy Depths
i(234136),	-- Darkwater Robes
i(234137),	-- Fang of Korialstrasz
i(234138),	-- Shadowsong's Sorrow
i(234139),	-- Ravencrest's Legacy
i(234141),	-- Runesword of the Red
i(234142),	-- Bottomless Noggenfogger Elixir
i(234143),	-- Globe of Deception
i(234144),	-- Censer of the False Prophet
i(234145),	-- Blood-Caked Hakkari Bijou
i(234176),	-- Darkmoon Card: Heroism
i(234177),	-- Darkmoon Card: Blue Dragon
i(234178),	-- Darkmoon Card: Maelstrom
i(234179),	-- Darkmoon Card: Twisting Nether
i(234180),	-- Temporal Flare
i(234181),	-- Twilight Cultist's Journal
i(234288),	-- Ironvine Belt
i(234289),	-- Plans: Ironvine Belt
i(234290),	-- Ironvine Gloves
i(234291),	-- Plans: Ironvine Gloves
i(234292),	-- Ironvine Breastplate
i(234293),	-- Plans: Ironvine Breastplate
i(234294),	-- Sandstalker Bracers
i(234295),	-- Pattern: Sandstalker Bracers
i(234296),	-- Sandstalker Gauntlets
i(234297),	-- Pattern: Sandstalker Gauntlets
i(234298),	-- Sandstalker Breastplate
i(234299),	-- Pattern: Sandstalker Breastplate
i(234300),	-- Spitfire Bracers
i(234301),	-- Pattern: Spitfire Bracers
i(234302),	-- Spitfire Gauntlets
i(234303),	-- Pattern: Spitfire Gauntlets
i(234304),	-- Spitfire Breastplate
i(234305),	-- Pattern: Spitfire Breastplate
i(234306),	-- Bramblewood Belt
i(234307),	-- Pattern: Bramblewood Belt
i(234308),	-- Bramblewood Boots
i(234309),	-- Pattern: Bramblewood Boots
i(234310),	-- Bramblewood Helm
i(234311),	-- Pattern: Bramblewood Helm
i(234319),	-- Heavy Obsidian Belt
i(234320),	-- Plans: Heavy Obsidian Belt
i(234321),	-- Light Obsidian Belt
i(234322),	-- Plans: Light Obsidian Belt
i(234324),	-- Dreamscale Breastplate
i(234325),	-- Pattern: Dreamscale Breastplate
i(234444),	-- Occult Poison II
i(234447),	-- Bubbles' Rod of Transformation
i(234462),	-- Earthstrike
i(234463),	-- Wrath of Cenarius
i(234464),	-- Bubbles' Rod of Bubbles
i(234465),	-- Reins of the Swift Spectral Tiger
i(234467),	-- Bubbles' Rod of Dragons
i(234481),	-- Pattern: Dreamscale Kilt
i(234482),	-- Dreamscale Kilt
i(234483),	-- Pattern: Dreamscale Bracers
i(234484),	-- Dreamscale Bracers
i(234485),	-- Dreamscale Mitts
i(234486),	-- Pattern: Dreamscale Mitts
i(234487),	-- Dreamscale Visor
i(234488),	-- Plans: Dreamscale Visor
i(234542),	-- High Warlord's Greatsword
i(234543),	-- High Warlord's Battle Axe
i(234545),	-- High Warlord's Pulverizer
i(234546),	-- High Warlord's Destroyer
i(234547),	-- High Warlord's Pig Sticker
i(234548),	-- High Warlord's Pig Poker
i(234549),	-- High Warlord's War Staff
i(234550),	-- High Warlord's Spellblade
i(234551),	-- High Warlord's Battle Mace
i(234552),	-- High Warlord's Blade
i(234553),	-- High Warlord's Quickblade
i(234554),	-- High Warlord's Cleaver
i(234555),	-- High Warlord's Bludgeon
i(234556),	-- High Warlord's Razor
i(234557),	-- High Warlord's Right Claw
i(234558),	-- High Warlord's Left Claw
i(234559),	-- High Warlord's Recurve
i(234560),	-- High Warlord's Crossbow
i(234561),	-- High Warlord's Street Sweeper
i(234562),	-- High Warlord's Shield Wall
i(234563),	-- High Warlord's Tome of Destruction
i(234564),	-- High Warlord's Tome of Mending
i(234565),	-- Grand Marshal's Claymore
i(234566),	-- Grand Marshal's Sunderer
i(234567),	-- Grand Marshal's Battle Hammer
i(234568),	-- Grand Marshal's Demolisher
i(234569),	-- Grand Marshal's Glaive
i(234570),	-- Grand Marshal's Polearm
i(234571),	-- Grand Marshal's Stave
i(234574),	-- Grand Marshal's Mageblade
i(234576),	-- Grand Marshal's Warhammer
i(234578),	-- Grand Marshal's Longsword
i(234579),	-- Grand Marshal's Swiftblade
i(234580),	-- Grand Marshal's Handaxe
i(234581),	-- Grand Marshal's Punisher
